Unnamed: 0,name,subname,actuall_start_time,actuall_end_time,actlength,actshift,reason
机器学习,神经学习初步,2022-07-09 15:02:35.404075,2022-07-09 16:32:18.980040,0,0,finished,
线性代数,dual soace,2022-07-09 20:02:23.474103,2022-07-09 21:03:23.836767,0,0,finished,
