name,subname,actuall_start_time,actuall_end_time,actlength,actshift,reason
数学分析,作业,2022-06-10 19:58:09.140282,2022-06-10 19:58:12.354926,0,0,0
数学分析,作业,2022-06-10 20:02:30.460587,2022-06-10 20:02:32.662165,0,0,finished
离散数学,dklasj,2022-06-10 22:49:35.801412,2022-06-10 22:49:40.359337,0,0,finished
统计,哈哈,2022-06-10 22:49:50.228107,2022-06-10 22:49:58.851670,0,0,休息
