name,subname,actuall_start_time,actuall_end_time,actlength,actshift,reason
加油,那,2022-08-01 00:05:03.575476,2022-08-01 00:05:04.491174,0,0,finished
线性代数,real vector space,2022-08-01 10:30:24.838282,2022-08-01 10:53:51.570043,0,0,finished
多元微积分,第七章结束,2022-08-01 11:13:39.883451,2022-08-01 11:54:48.420320,0,0,finished
